Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,5.00,0.76,0.18,0.62,0.30,816.31,428.11,3.55,1.86,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,10.00,0.76,0.18,0.62,0.30,773.05,422.97,3.36,1.84,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,15.00,0.76,0.18,0.62,0.30,749.66,418.18,3.26,1.82,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,20.00,0.76,0.18,0.62,0.30,733.06,413.98,3.19,1.80,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,25.00,0.76,0.18,0.62,0.30,717.31,409.77,3.12,1.78,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,30.00,0.76,0.18,0.62,0.30,703.13,405.47,3.06,1.76,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,35.00,0.76,0.18,0.62,0.30,690.17,401.21,3.00,1.75,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,40.00,0.76,0.18,0.62,0.30,677.54,396.98,2.95,1.73,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,45.00,0.76,0.18,0.62,0.30,665.65,392.83,2.90,1.71,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,50.00,0.76,0.18,0.62,0.30,654.40,388.78,2.85,1.69,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,55.00,0.76,0.18,0.62,0.30,643.37,384.78,2.80,1.67,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,60.00,0.76,0.18,0.62,0.30,632.85,380.81,2.75,1.66,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,120.00,0.76,0.18,0.62,0.30,529.50,336.11,2.30,1.46,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,180.00,0.76,0.18,0.62,0.30,444.96,294.44,1.94,1.28,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,240.00,0.76,0.18,0.62,0.30,370.01,255.27,1.61,1.11,118.00,,,,,,,,,,,,,
1,Weekdays,Wildtype,0.00,300.00,0.76,0.18,0.62,0.30,300.44,219.66,1.31,0.96,118.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekdays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,5.00,0.76,0.18,0.62,0.30,816.31,428.11,17.75,9.31,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,10.00,0.76,0.18,0.62,0.30,773.05,422.97,16.81,9.20,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,15.00,0.76,0.18,0.62,0.30,749.66,418.18,16.31,9.10,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,20.00,0.76,0.18,0.62,0.30,733.06,413.98,15.94,9.00,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,25.00,0.76,0.18,0.62,0.30,717.31,409.77,15.60,8.91,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,30.00,0.76,0.18,0.62,0.30,703.13,405.47,15.29,8.82,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,35.00,0.76,0.18,0.62,0.30,690.17,401.21,15.01,8.73,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,40.00,0.76,0.18,0.62,0.30,677.54,396.98,14.74,8.63,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,45.00,0.76,0.18,0.62,0.30,665.65,392.83,14.48,8.54,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,50.00,0.76,0.18,0.62,0.30,654.40,388.78,14.23,8.46,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,55.00,0.76,0.18,0.62,0.30,643.37,384.78,13.99,8.37,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,60.00,0.76,0.18,0.62,0.30,632.85,380.81,13.76,8.28,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,120.00,0.76,0.18,0.62,0.30,529.50,336.11,11.52,7.31,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,180.00,0.76,0.18,0.62,0.30,444.96,294.44,9.68,6.40,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,240.00,0.76,0.18,0.62,0.30,370.01,255.27,8.05,5.55,118.00,,,,,,,,,,,,,
5,Weekdays,Wildtype,0.00,300.00,0.76,0.18,0.62,0.30,300.44,219.66,6.53,4.78,118.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekdays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
No Controlled Devices,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,5.00,0.80,0.37,0.66,0.42,944.00,606.18,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,10.00,0.80,0.37,0.66,0.42,935.29,602.85,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,15.00,0.80,0.37,0.66,0.42,928.02,599.90,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,20.00,0.80,0.37,0.66,0.42,921.80,596.97,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,25.00,0.80,0.37,0.66,0.42,915.64,594.13,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,30.00,0.80,0.37,0.66,0.42,909.70,591.33,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,35.00,0.80,0.37,0.66,0.42,904.10,588.58,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,40.00,0.80,0.37,0.66,0.42,898.51,585.89,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,45.00,0.80,0.37,0.66,0.42,893.05,583.27,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,50.00,0.80,0.37,0.66,0.42,887.80,580.67,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,55.00,0.80,0.37,0.66,0.42,882.56,578.13,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,60.00,0.80,0.37,0.66,0.42,877.42,575.60,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,120.00,0.80,0.37,0.66,0.42,821.39,546.54,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,180.00,0.80,0.37,0.66,0.42,770.31,518.33,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,240.00,0.80,0.37,0.66,0.42,722.99,490.41,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,Wildtype,0.00,300.00,0.80,0.37,0.66,0.42,677.63,463.28,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekends,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekends,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,5.00,0.80,0.37,0.66,0.42,944.00,606.18,2.39,1.53,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,10.00,0.80,0.37,0.66,0.42,935.29,602.85,2.37,1.53,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,15.00,0.80,0.37,0.66,0.42,928.02,599.90,2.35,1.52,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,20.00,0.80,0.37,0.66,0.42,921.80,596.97,2.33,1.51,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,25.00,0.80,0.37,0.66,0.42,915.64,594.13,2.32,1.50,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,30.00,0.80,0.37,0.66,0.42,909.70,591.33,2.30,1.50,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,35.00,0.80,0.37,0.66,0.42,904.10,588.58,2.29,1.49,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,40.00,0.80,0.37,0.66,0.42,898.51,585.89,2.27,1.48,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,45.00,0.80,0.37,0.66,0.42,893.05,583.27,2.26,1.48,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,50.00,0.80,0.37,0.66,0.42,887.80,580.67,2.25,1.47,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,55.00,0.80,0.37,0.66,0.42,882.56,578.13,2.23,1.46,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,60.00,0.80,0.37,0.66,0.42,877.42,575.60,2.22,1.46,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,120.00,0.80,0.37,0.66,0.42,821.39,546.54,2.08,1.38,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,180.00,0.80,0.37,0.66,0.42,770.31,518.33,1.95,1.31,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,240.00,0.80,0.37,0.66,0.42,722.99,490.41,1.83,1.24,118.00,,,,,,,,,,,,,
1.46,Weekends,Wildtype,0.00,300.00,0.80,0.37,0.66,0.42,677.63,463.28,1.71,1.17,118.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekends,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,5.00,0.80,0.37,0.66,0.42,944.00,606.18,1.64,1.05,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,10.00,0.80,0.37,0.66,0.42,935.29,602.85,1.62,1.04,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,15.00,0.80,0.37,0.66,0.42,928.02,599.90,1.61,1.04,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,20.00,0.80,0.37,0.66,0.42,921.80,596.97,1.60,1.03,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,25.00,0.80,0.37,0.66,0.42,915.64,594.13,1.59,1.03,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,30.00,0.80,0.37,0.66,0.42,909.70,591.33,1.58,1.02,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,35.00,0.80,0.37,0.66,0.42,904.10,588.58,1.57,1.02,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,40.00,0.80,0.37,0.66,0.42,898.51,585.89,1.56,1.02,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,45.00,0.80,0.37,0.66,0.42,893.05,583.27,1.55,1.01,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,50.00,0.80,0.37,0.66,0.42,887.80,580.67,1.54,1.01,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,55.00,0.80,0.37,0.66,0.42,882.56,578.13,1.53,1.00,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,60.00,0.80,0.37,0.66,0.42,877.42,575.60,1.52,1.00,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,120.00,0.80,0.37,0.66,0.42,821.39,546.54,1.42,0.95,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,180.00,0.80,0.37,0.66,0.42,770.31,518.33,1.34,0.90,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,240.00,0.80,0.37,0.66,0.42,722.99,490.41,1.25,0.85,118.00,,,,,,,,,,,,,
1,Weekends,Wildtype,0.00,300.00,0.80,0.37,0.66,0.42,677.63,463.28,1.17,0.80,118.00,,,,,,,,,,,,,
1,Weekends,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,Weekends,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,5.00,0.80,0.37,0.66,0.42,944.00,606.18,8.18,5.25,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,10.00,0.80,0.37,0.66,0.42,935.29,602.85,8.11,5.22,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,15.00,0.80,0.37,0.66,0.42,928.02,599.90,8.04,5.20,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,20.00,0.80,0.37,0.66,0.42,921.80,596.97,7.99,5.17,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,25.00,0.80,0.37,0.66,0.42,915.64,594.13,7.94,5.15,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,30.00,0.80,0.37,0.66,0.42,909.70,591.33,7.88,5.12,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,35.00,0.80,0.37,0.66,0.42,904.10,588.58,7.84,5.10,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,40.00,0.80,0.37,0.66,0.42,898.51,585.89,7.79,5.08,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,45.00,0.80,0.37,0.66,0.42,893.05,583.27,7.74,5.05,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,50.00,0.80,0.37,0.66,0.42,887.80,580.67,7.69,5.03,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,55.00,0.80,0.37,0.66,0.42,882.56,578.13,7.65,5.01,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,60.00,0.80,0.37,0.66,0.42,877.42,575.60,7.60,4.99,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,120.00,0.80,0.37,0.66,0.42,821.39,546.54,7.12,4.74,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,180.00,0.80,0.37,0.66,0.42,770.31,518.33,6.68,4.49,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,240.00,0.80,0.37,0.66,0.42,722.99,490.41,6.27,4.25,118.00,,,,,,,,,,,,,
5,Weekends,Wildtype,0.00,300.00,0.80,0.37,0.66,0.42,677.63,463.28,5.87,4.02,118.00,,,,,,,,,,,,,
5,Weekends,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,Weekends,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
